측정,측정망,측정소명,측정날짜,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
미세먼지(PM10),도시대기,[경기 안성시]죽산면,2022년10월,63,45,19,11,25,21,13,17,14,10,21,39,29,39,36,64,40,33,43,65,92,81,54,41,35,46,58,72,63,56,44
미세먼지(PM10),도시대기,[경기 안양시]부림동,2022년10월,79,44,22,21,28,16,16,15,13,12,22,27,26,36,39,48,33,27,28,42,59,51,43,31,21,25,35,53,34,30,28
미세먼지(PM10),도시대기,[경기 안양시]안양2동,2022년10월,68,40,15,14,23,11,12,12,9,9,18,18,21,33,37,23,23,24,27,42,55,52,39,22,17,20,31,45,32,28,27
미세먼지(PM10),도시대기,[경기 안양시]안양8동,2022년10월,79,43,17,16,23,10,12,10,9,8,16,20,21,31,34,44,29,19,23,41,56,50,39,29,15,17,30,45,27,26,27
미세먼지(PM10),도시대기,[경기 안양시]호계동,2022년10월,82,40,,22,25,11,12,7,7,6,19,20,18,30,34,45,33,23,24,40,61,52,43,29,11,16,32,54,32,28,31
미세먼지(PM10),도시대기,[경기 양주시]고읍,2022년10월,44,27,8,13,9,7,10,12,5,4,15,21,22,34,28,34,24,21,21,50,53,47,37,28,20,17,35,39,31,28,24
미세먼지(PM10),도시대기,[경기 양주시]백석읍,2022년10월,36,34,9,6,8,14,16,12,7,5,14,18,23,30,32,35,29,21,25,38,49,39,38,25,16,21,35,38,30,25,34
미세먼지(PM10),도시대기,[경기 양평군]양평읍,2022년10월,33,28,15,9,8,10,8,13,12,9,17,20,17,20,24,30,29,22,25,34,58,55,40,29,16,19,32,34,32,28,27
미세먼지(PM10),도시대기,[경기 양평군]용문면,2022년10월,27,18,9,6,5,4,5,7,9,5,13,11,11,15,17,24,30,19,22,19,70,49,34,18,9,13,29,31,21,20,20
미세먼지(PM10),도시대기,[경기 여주시]가남읍,2022년10월,74,50,27,27,27,16,16,20,20,13,11,49,33,48,49,70,47,37,61,70,88,77,53,38,36,42,54,79,58,49,49
미세먼지(PM10),도시대기,[경기 여주시]대신면,2022년10월,43,31,20,12,8,5,5,10,12,7,16,19,17,23,24,35,33,25,27,37,66,69,44,24,13,21,35,40,30,30,
미세먼지(PM10),도시대기,[경기 여주시]중앙동(경기),2022년10월,43,33,18,15,12,6,5,9,11,9,17,23,19,23,25,38,39,26,28,38,62,67,46,24,13,20,39,52,34,30,28
미세먼지(PM10),도시대기,[경기 연천군]연천,2022년10월,23,19,6,12,5,6,9,12,9,7,16,19,19,19,18,22,22,19,22,31,34,26,30,25,20,24,31,30,26,27,27
미세먼지(PM10),도시대기,[경기 연천군]전곡,2022년10월,32,23,8,14,7,5,13,16,9,7,18,23,23,23,29,27,25,25,26,32,39,28,31,25,25,25,33,35,29,27,32
미세먼지(PM10),도시대기,[경기 오산시]오산동,2022년10월,72,31,17,13,21,16,10,9,8,7,17,25,20,29,38,45,28,23,29,37,62,47,35,24,18,17,32,45,40,27,22
미세먼지(PM10),도시대기,[경기 용인시]기흥,2022년10월,51,37,20,9,23,12,9,9,10,8,17,27,20,28,36,42,26,22,26,39,66,57,34,25,17,16,36,43,33,26,25
미세먼지(PM10),도시대기,[경기 용인시]김량장동,2022년10월,50,33,11,12,20,12,7,10,7,6,15,25,22,23,29,45,29,25,27,38,65,50,38,25,24,20,37,50,44,32,31
미세먼지(PM10),도시대기,[경기 용인시]모현읍,2022년10월,50,37,18,16,25,13,14,14,13,11,21,28,24,29,30,42,33,28,33,39,65,58,41,31,26,28,41,46,43,33,36
미세먼지(PM10),도시대기,[경기 용인시]백암면,2022년10월,52,47,20,13,20,14,12,16,19,8,18,31,22,35,31,63,34,24,36,49,78,70,51,29,19,25,42,62,48,44,34
미세먼지(PM10),도시대기,[경기 용인시]수지,2022년10월,67,40,18,10,23,11,9,10,10,8,17,21,19,25,31,51,30,23,25,37,69,57,46,27,18,17,32,52,38,29,28
